Hosts,Host,Role,Portfolio,Date,Subject,Lobby Organisation,id
Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,16/09/2015,DSM,Microsoft,260
Grzegorz Radziejewski,Grzegorz Radziejewski,Cabinet,Jobs & Growth,16/09/2015,Digital Single Market,Microsoft,259
Inge Bernaerts,Inge Bernaerts,Cabinet,Employment,18/09/2015,social aspects of collaborative economy,Uber,258
Kaius Kristian Hedberg,Kaius Kristian Hedberg,Cabinet,Internal Market,21/09/2015,Current IP/standardization issues,Apple,257
Michael Hager,Michael Hager,Cabinet,Digital Economy,22/09/2015,digital policy,Facebook,256
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,23/09/2015,DSM,Apple,252
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,23/09/2015,DSM,Google,253
Tatyana Panova,Tatyana Panova,Cabinet,Euro,23/09/2015,Google's investments and initiatives in Europe as well as our vision on the Digital Single Market,Google,254
Vice-President Valdis Dombrovskis,Valdis Dombrovskis,Vice-President,Euro,23/09/2015,Google's investments and initiatives in Europe as well as our vision on the Digital Single Market,Google,255
Commissioner Carlos Moedas,Carlos Moedas,Commissioner,Research,23/09/2015,R&D investment in Europe and innovation policy,Google,251
Isabelle Perignon Renate Nikolay,Isabelle Perignon,Cabinet,Justice,24/09/2015,Data protection,Microsoft,249
Isabelle Perignon Renate Nikolay,Renate Nikolay,Cabinet,Justice,24/09/2015,Data protection,Microsoft,250
Commissioner Pierre Moscovici,Pierre Moscovici,Commissioner,Economics & Tax,01/10/2015,Corporate Tax Transparency,Amazon,247
Jan Ceyssens,Jan Ceyssens,Cabinet,Euro,01/10/2015,Corporate Tax Transparency,Amazon,245
Vice-President Valdis Dombrovskis,Valdis Dombrovskis,Vice-President,Euro,01/10/2015,Corporate Tax Transparency,Amazon,248
Commissioner Jonathan Hill,Jonathan Hill,Commissioner,Financial Markets,01/10/2015,Corporate Tax Transparency,Amazon,246
Renate Nikolay Isabelle Perignon Daniel Braun,Daniel Braun,Cabinet,Justice,02/10/2015,Hate speech on-line,Google,232
Renate Nikolay Isabelle Perignon Daniel Braun,Isabelle Perignon,Cabinet,Justice,02/10/2015,Hate speech on-line,Facebook,233
Renate Nikolay Isabelle Perignon Daniel Braun,Isabelle Perignon,Cabinet,Justice,02/10/2015,Hate speech on-line,Google,234
Renate Nikolay Isabelle Perignon Daniel Braun,Isabelle Perignon,Cabinet,Justice,02/10/2015,Hate speech on-line,Microsoft,235
Renate Nikolay Isabelle Perignon Daniel Braun,Isabelle Perignon,Cabinet,Justice,02/10/2015,Hate speech on-line,Twitter,236
Renate Nikolay Isabelle Perignon Daniel Braun,Renate Nikolay,Cabinet,Justice,02/10/2015,Hate speech on-line,Facebook,237
Renate Nikolay Isabelle Perignon Daniel Braun,Renate Nikolay,Cabinet,Justice,02/10/2015,Hate speech on-line,Google,238
Renate Nikolay Isabelle Perignon Daniel Braun,Renate Nikolay,Cabinet,Justice,02/10/2015,Hate speech on-line,Microsoft,239
Renate Nikolay Isabelle Perignon Daniel Braun,Renate Nikolay,Cabinet,Justice,02/10/2015,Hate speech on-line,Twitter,240
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,02/10/2015,Hate speech on-line,Facebook,241
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,02/10/2015,Hate speech on-line,Google,242
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,02/10/2015,Hate speech on-line,Microsoft,243
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,02/10/2015,Hate speech on-line,Twitter,244
Tânia Frazão Nunes,Tânia Frazão Nunes,Cabinet,Research,06/10/2015,Innovation and Competition,Google,231
Jasmin Battista,Jasmin Battista,Cabinet,Digital Single Market,13/10/2015,Investment Google Italy,Google,229
Director-General Michel Servoz,Michel Servoz,Director-General,Employment,13/10/2015,How Google can help the European Commission’s effort to boost digital skills and jobs in Europe,Google,230
Director-General Dominique Ristori,Dominique Ristori,Director-General,Energy Union,13/10/2015,European energy policy,Google,228
Stig Joergen Gren,Stig Joergen Gren,Cabinet,Digital Single Market,21/10/2015,Platforms,Google,227
Michael Hager,Michael Hager,Cabinet,Digital Economy,30/10/2015,platforms and DSM,Uber,226
Michael Hager,Michael Hager,Cabinet,Digital Economy,06/11/2015,DSM,Microsoft,225
Jan Mikolaj Dzieciolowski,Jan Mikolaj Dzieciolowski,Cabinet,Regional Policy,17/11/2015,Information exchange,Google,224
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,18/11/2015,Youtube kids app and discussion on their plans for lauching this app in Europe.,Google,223
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,20/11/2015,Digital transformation of the European industry,Google,222
Laure Chapuis-Kombos Jasmin Battista,Jasmin Battista,Cabinet,Digital Single Market,25/11/2015,digital divide of italian users and consumers / Web Safety,Google,220
Laure Chapuis-Kombos Jasmin Battista,Laure Chapuis-Kombos,Cabinet,Digital Single Market,25/11/2015,digital divide of italian users and consumers / Web Safety,Google,221
Bodo Lehmann,Bodo Lehmann,Cabinet,Digital Economy,26/11/2015,Cybersecurity and consumers fostering web safety,Google,219
Stig Joergen Gren Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,30/11/2015,"platforms, copyright, data protection, AVMSD",Google,217
Stig Joergen Gren Juhan Lepassaar,Stig Joergen Gren,Cabinet,Digital Single Market,30/11/2015,"platforms, copyright, data protection, AVMSD",Google,218
Markus Schulte,Markus Schulte,Cabinet,Digital Economy,02/12/2015,Digital skills,Google,216
First Vice-President Frans Timmermans,Frans Timmermans,Cabinet,Better Regulation,03/12/2015,Business Europe CEO day,Google,211
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,03/12/2015,DSM and data protection,Facebook,212
Edward Bannerman,Edward Bannerman,Cabinet,Jobs & Growth,03/12/2015,Business Europe CEO day,Google,210
Heidi Jern,Heidi Jern,Cabinet,Jobs & Growth,03/12/2015,Digital Single market,Facebook,213
Vice-President Jyrki Katainen,Jyrki Katainen,Vice-President,Jobs & Growth,03/12/2015,Digital Single market,Facebook,214
Vice-President Jyrki Katainen,Jyrki Katainen,Vice-President,Jobs & Growth,03/12/2015,Business Europe CEO day,Google,215
Secretary-General Alexander Italianer,Alexander Italianer,Secretary-General,Presidency,03/12/2015,Business Europe CEO day,Google,208
Commissioner Carlos Moedas,Carlos Moedas,Commissioner,Research,03/12/2015,Business Europe CEO day,Google,209
Juhan Lepassaar Laure Chapuis-Kombos,Juhan Lepassaar,Cabinet,Digital Single Market,04/12/2015,DSM,Facebook,203
Juhan Lepassaar Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,04/12/2015,DSM,Facebook,205
Kevin O'Connell Renate Nikolay,Kevin O'Connell,Cabinet,Justice,04/12/2015,Safe Harbour,Facebook,204
Kevin O'Connell Renate Nikolay,Renate Nikolay,Cabinet,Justice,04/12/2015,Safe Harbour,Facebook,206
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,04/12/2015,Safe Harbour,Facebook,207
Nele Eichhorn,Nele Eichhorn,Cabinet,Trade,07/12/2015,digital trade,Apple,202
Jasmin Battista Juhan Lepassaar,Jasmin Battista,Cabinet,Digital Single Market,11/12/2015,collaborative economy within the Single Market,Uber,200
Jasmin Battista Juhan Lepassaar,Juhan Lepassaar,Cabinet,Digital Single Market,11/12/2015,collaborative economy within the Single Market,Uber,201
Szabolcs Horvath Adrienn Kiraly,Adrienn Kiraly,Cabinet,Education,17/12/2015,"Google Cultural institute future initiatives, Copyright",Google,198
Szabolcs Horvath Adrienn Kiraly,Szabolcs Horvath,Cabinet,Education,17/12/2015,"Google Cultural institute future initiatives, Copyright",Google,199
Kevin O'Connell,Kevin O'Connell,Cabinet,Justice,18/01/2016,Safe Harbour,Microsoft,196
Commissioner Věra Jourová,Věra Jourová,Commissioner,Justice,18/01/2016,Safe Harbour,Microsoft,197
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,19/01/2016,DSM,Microsoft,192
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,19/01/2016,"Safe harbour, data centers in EU",Microsoft,189
Laure Chapuis-Kombos,Laure Chapuis-Kombos,Cabinet,Digital Single Market,19/01/2016,"Safe harbour, data centers in EU",Microsoft,193
Mette Toftdal Grolleman,Mette Toftdal Grolleman,Cabinet,Financial Markets,19/01/2016,Digitalisation in the banking sector and use of technology,Microsoft,194
Diane Schmitt Sofia Asteriadi,Diane Schmitt,Cabinet,Home Affairs,19/01/2016,Follow up to the launch of the EU Internet Forum,Microsoft,190
Commissioner Dimitris Avramopoulos,Dimitris Avramopoulos,Commissioner,Home Affairs,19/01/2016,Follow up to the launch of the EU Internet Forum,Microsoft,191
Diane Schmitt Sofia Asteriadi,Sofia Asteriadi,Cabinet,Home Affairs,19/01/2016,Follow up to the launch of the EU Internet Forum,Microsoft,195
Szabolcs Horvath Alicja Magda HERBOWSKA,Alicja Magda Herbowska,Cabinet,Education,20/01/2016,Google Cultural Institute and Digital Single Market,Google,187
Szabolcs Horvath Alicja Magda HERBOWSKA,Szabolcs Horvath,Cabinet,Education,20/01/2016,Google Cultural Institute and Digital Single Market,Google,188
Commissioner Günther Oettinger,Günther Oettinger,Commissioner,Digital Economy,21/01/2016,DSM,Google,185
Vice-President Andrus Ansip,Andrus Ansip,Vice-President,Digital Single Market,21/01/2016,"DSM, platforms, innovation",Uber,184
Commissioner Pierre Moscovici,Pierre Moscovici,Commissioner,Economics & Tax,21/01/2016,"Uber in Europe, EU law, EU legal framework and regulatory framework in relation to the collaborative economy.",Uber,186
Szabolcs Horvath,Szabolcs Horvath,Cabinet,Education,22/01/2016,Digital Single Market,Google,183
Edward Bannerman,Edward Bannerman,Cabinet,Jobs & Growth,22/01/2016,Sharing economy,Uber,181
