code_circo,code_dpt,circo,departement,candidat,genre,site
92_4,92,4,Hauts-de-Seine,Laurent Salles,H,https://fnlegislatives.fr/candidats/laurent-salles/
70_1,70,1,Haute-Saône,Léonie CUGNOT,F,https://fnlegislatives.fr/candidats/leonie-cugnot/
71_5,71,5,Saône-et-Loire,Lilian Noirot,H,https://fnlegislatives.fr/candidats/lilian-noirot/
93_6,93,6,Seine-Saint-Denis,Line VALLÈS,F,https://fnlegislatives.fr/candidats/line-valles/
57_9,57,9,Moselle,Lionel BIEDER,H,https://fnlegislatives.fr/candidats/lionel-bieder/
80_5,80,5,Somme,Loïc GRIMAUX,H,https://fnlegislatives.fr/candidats/loic-grimaux/
66_2,66,2,Pyrénées-Orientales,Louis ALIOT,H,https://fnlegislatives.fr/candidats/louis-aliot/
25_3,25,3,Doubs,Loup VIALLET,H,https://fnlegislatives.fr/candidats/loup-viallet/
92_7,92,7,Hauts-de-Seine,Lucia LAPORTE,F,https://fnlegislatives.fr/candidats/lucia-laporte/
79_3,79,3,Deux-Sèvres,Lucie CHAUMERON,F,https://fnlegislatives.fr/candidats/lucie-chaumeron/
91_10,91,10,Essonne,Lucie DEDI,F,https://fnlegislatives.fr/candidats/lucie-dedi/
49_5,49,5,Maine-et-Loire,Lucie PINEAU,F,https://fnlegislatives.fr/candidats/lucie-pineau/
64_3,64,3,Pyrénées-Atlantiques,Lucinda CARVALHO,F,https://fnlegislatives.fr/candidats/lucinda-carvalho/
59_20,59,20,Nord,Ludovic de DANNE,H,https://fnlegislatives.fr/candidats/ludovic-de-danne/
45_4,45,4,Loiret,Ludovic Marchetti,H,https://fnlegislatives.fr/candidats/ludovic-marchetti/
62_10,62,10,Pas-de-Calais,Ludovic PAJOT,H,https://fnlegislatives.fr/candidats/ludovic-pajot/
89_1,89,1,Yonne,Ludovic VIGREUX,H,https://fnlegislatives.fr/candidats/ludovic-vigreux/
976_2,976,2,Mayotte,Madi BOINALI ANLI,F,https://fnlegislatives.fr/candidats/madi-boinali-anli/
31_4,31,4,Haute-Garonne,Maïthé CARSALADE,F,https://fnlegislatives.fr/candidats/maithe-carsalade/
75_2,75,2,Paris,Manon BOUQUIN,F,https://fnlegislatives.fr/candidats/manon-bouquin/
92_8,92,8,Hauts-de-Seine,Marc THOMAS,H,https://fnlegislatives.fr/candidats/marc-thomas/
49_1,49,1,Maine-et-Loire,Marie BARON,F,https://fnlegislatives.fr/candidats/marie-baron/
73_3,73,3,Savoie,Marie DAUCHY,F,https://fnlegislatives.fr/candidats/marie-dauchy/
75_5,75,5,Paris,Marie FONTAINE,F,https://fnlegislatives.fr/candidats/marie-fontaine/
77_2,77,2,Seine-et-Marne,Marie Garcia,F,https://fnlegislatives.fr/candidats/marie-garcia/
72_1,72,1,Sarthe,Marie GENEVREY,F,https://fnlegislatives.fr/candidats/marie-genevrey/
57_4,57,4,Moselle,Marie-Amélie DUTHEIL DE LA ROCHÈRE,F,https://fnlegislatives.fr/candidats/marie-amelie-dutheil-de-la-rochere/
62_4,62,4,Pas-de-Calais,Marie-Annick DUPAS,F,https://fnlegislatives.fr/candidats/marie-annick-dupas/
62_6,62,6,Pas-de-Calais,Marie-Christine BOURGEOIS,F,https://fnlegislatives.fr/candidats/marie-christine-bourgeois/
57_2,57,2,Moselle,Marie-Claude VOINÇON,F,https://fnlegislatives.fr/candidats/marie-claude-voincon/
50_2,50,2,Manche,Marie-Françoise KURDZIEL,F,https://fnlegislatives.fr/candidats/marie-francoise-kurdziel/
68_1,68,1,Haut-Rhin,Marie-Hélène de LACOSTE-LAREYMONDIE,F,https://fnlegislatives.fr/candidats/marie-helene-de-lacoste-lareymondie/
78_4,78,4,Yvelines,Marie-Jo RENAUDIN,F,https://fnlegislatives.fr/candidats/marie-jo-renaudin/
