code_circo,Titulaire,TG,Suppléant,SG,code_dpt,circo
75_16,Sarah Legrain,F,Stéphane Fernandez,H,75,16
75_17,Danièle Obono,F,Michel Mongkhoy,H,75,17
75_18,Paul Vannier,H,Sabrina Ali Benali,F,75,18
75_2,Anne-Françoise PRUNIERES,F,Julien Bermudez,H,75,2
75_3,Laurent Levard,H,Natalie DEPRAZ,F,75,3
75_4,Mélanie Monier,F,Kevin Guibert,H,75,4
75_5,Layla Yakoub,F,Emmanuel Olivard,H,75,5
75_6,Danielle Simonnet,F,Sophie de La Rochefoucaud,F,75,6
75_7,Jean-Charles Lallemand,H, ,,75,7
75_8,Clément Bony,H,Raquel Garrido,F,75,8
75_9,Raphaël Qnouch,H,Agnès Falabrègues,F,75,9
76_1,Lionel Descamps,H,SYLVIE Glabik,F,76,1
76_10,Anne Lecoq-Cherblanc,F,Norbert Tangy,H,76,10
76_2,Alain Ninauve,H, ,,76,2
76_3,,,,,76,3
76_4,Laura THIEBLEMONT,F,Bruno Guilliot,H,76,4
76_5,Myriam Mulot,F,Yann Beux,H,76,5
76_6,,,,,76,6
76_7,Gérald Maniable,H,Veronica Petitjean,F,76,7
76_8,François Panchout,H,Joanna Castillo,F,76,8
76_9,Rachid Chebli,H,Carole Soter,F,76,9
77_1,Bénédicte Monville-De Cecco,F,Fatiya Ammad-Mothay,F,77,1
77_10,Maxime Laisney,H,Françoise Godin,F,77,10
77_11,Daniel Allioux,H, ,,77,11
77_2,renaud HAMARD,H,Marie-Thérèse Gutierrez,F,77,2
77_3,Chantal Thomas,F, ,,77,3
77_4,Julie Garnier,F, ,,77,4
77_5,Mounia Charaf,F,Patrice Meillier,H,77,5
77_6,Valérie Delage,F,Alban Corbin,H,77,6
77_7,Grégory Jurado,H,Ersilia Soudais,F,77,7
77_8,Julia Killian,F,Sylvain Beaulieu,H,77,8
77_9,Delphine Heuclin,, ,,77,9
78_1,Thibaut Marchal,, ,,78,1
78_10,Benjamin Nicoletta,H,Valérie Profizi-Bachelart,F,78,10
