BUREAU DE VOTE,DEPARTEMENT,ARNAUD MONTEBOURG,MARTINE AUBRY,JEAN-MICHEL BAYLET,MANUEL VALLS,FRANCOIS HOLLANDE,SEGOLENE ROYAL,VOTES BLANCS,VOTES NULS
830087,83,38,55,0,4,78,10,0,0
830088,83,71,110,4,29,166,22,0,0
830089,83,22,35,1,9,65,15,0,0
830090,83,36,78,0,10,93,17,0,2
830091,83,29,54,1,7,55,12,0,0
830092,83,41,50,2,13,76,15,0,0
830093,83,76,80,0,13,125,16,0,1
830094,83,76,77,1,13,143,35,0,3
830095,83,20,20,0,5,50,12,0,0
830096,83,40,44,1,20,88,16,0,0
830097,83,26,31,0,4,56,13,1,2
830098,83,36,89,3,9,102,58,0,1
830099,83,156,240,12,27,254,81,2,1
830100,83,194,227,10,55,302,60,0,0
830101,83,79,95,0,39,168,25,0,0
830102,83,81,113,0,22,138,28,0,2
830103,83,35,44,1,8,59,17,0,0
830104,83,31,39,1,10,69,16,0,1
830105,83,122,152,2,41,218,65,0,3
830106,83,75,81,1,31,149,27,0,1
830107,83,61,79,2,13,94,28,0,4
830108,83,90,97,1,21,118,24,1,0
830109,83,49,52,0,20,88,17,0,1
840001,84,39,28,2,17,68,17,0,0
840002,84,62,80,1,16,152,32,0,1
840003,84,39,31,0,13,64,17,0,1
840004,84,75,79,2,20,82,18,0,2
840005,84,20,51,0,7,45,12,0,2
840006,84,58,76,0,11,89,17,0,1
840007,84,78,102,1,24,104,18,0,2
840008,84,29,26,1,6,60,5,0,0
840009,84,97,74,2,27,164,25,1,0
840010,84,50,57,0,18,82,20,0,0
840011,84,51,45,1,23,115,37,0,0
840012,84,60,70,1,19,127,38,0,0
840013,84,29,13,2,2,39,3,0,1
840014,84,39,60,0,15,54,14,0,1
840015,84,60,59,4,20,90,30,0,0
840016,84,95,98,0,15,105,30,0,0
840017,84,19,32,1,1,41,3,0,3
840018,84,32,28,0,5,57,12,0,0
840019,84,56,42,0,23,71,21,0,1
840020,84,9,3,0,0,3,0,0,0
840021,84,63,63,2,11,88,24,0,1
840022,84,34,55,1,8,50,18,0,0
840023,84,76,92,1,23,145,30,0,1
840024,84,19,36,0,11,41,9,0,0
840025,84,33,60,0,13,46,9,0,2
840026,84,26,50,0,9,50,13,0,1
840027,84,53,56,1,8,75,20,0,2
840028,84,19,30,0,10,54,8,0,2
840029,84,99,111,4,31,135,29,2,0
840030,84,52,74,0,13,114,30,1,0
840031,84,29,37,0,3,46,5,0,0
840032,84,43,60,3,6,52,20,0,0
840033,84,28,42,1,17,50,9,0,0
840034,84,23,21,0,6,44,6,0,0
840035,84,35,44,1,21,38,9,0,0
840036,84,33,26,1,9,62,9,0,0
840037,84,37,48,0,12,80,16,0,2
840038,84,58,69,1,13,116,23,0,0
840039,84,85,107,3,16,155,34,0,0
840040,84,75,120,0,29,164,47,1,0
840041,84,27,28,1,5,42,12,0,0
840042,84,68,84,0,14,127,21,0,2
840043,84,91,120,0,25,159,33,0,2
840044,84,32,28,11,13,58,10,0,1
840045,84,43,80,0,15,98,21,0,2
840046,84,35,53,0,9,97,6,0,0
840047,84,28,38,1,8,49,8,0,0
840048,84,132,104,1,22,164,39,0,1
840049,84,26,33,0,5,33,8,0,1
840050,84,80,50,1,9,75,16,0,2
840051,84,36,41,0,15,71,15,0,0
840052,84,80,131,1,29,114,22,0,0
840053,84,118,156,2,16,164,31,0,2
840054,84,118,111,4,26,159,32,0,0
840055,84,44,43,1,24,69,11,0,1
840056,84,47,58,1,18,86,20,0,0
840057,84,54,42,0,7,47,14,0,1
840058,84,66,89,1,23,89,30,0,0
840059,84,46,50,0,12,46,17,0,0
840060,84,78,114,0,9,101,26,0,0
840061,84,42,76,2,9,60,16,0,1
840062,84,80,104,0,15,132,37,0,0
840063,84,6,7,0,2,22,8,0,0
840064,84,15,27,0,3,26,17,2,0
840065,84,82,100,2,10,114,21,0,0
840066,84,40,42,2,12,55,17,0,0
840067,84,77,103,1,16,132,27,0,0
840068,84,45,104,0,11,65,20,0,1
840069,84,29,52,0,6,81,17,0,0
840070,84,14,30,0,4,46,19,0,3
840071,84,13,31,1,5,63,5,0,0
840072,84,77,87,0,14,94,15,0,0
840073,84,52,46,1,9,44,10,0,0
840074,84,23,34,1,8,60,16,3,0
840075,84,69,86,2,27,140,29,0,0
840076,84,46,46,0,11,79,15,0,1
840077,84,26,42,0,11,61,18,0,0
840078,84,11,41,1,7,50,14,0,0
840079,84,32,48,0,9,77,11,0,2
840080,84,23,38,1,9,63,21,0,0
840081,84,83,97,2,17,116,49,0,1
840082,84,76,95,3,21,125,25,1,3
840083,84,25,43,0,12,62,13,0,0
840084,84,30,61,1,5,66,17,0,0
840085,84,20,22,0,8,96,10,0,1
840086,84,33,30,0,13,82,9,0,0
840087,84,37,48,0,10,53,10,0,0
840088,84,31,38,3,10,51,12,0,0
840089,84,52,80,2,9,58,22,1,0
840090,84,46,42,0,8,81,23,2,0
840091,84,40,38,1,17,68,3,0,0
850001,85,30,42,0,8,97,22,1,1
850002,85,19,38,1,2,89,11,0,1
850003,85,75,200,3,26,225,25,0,0
850004,85,31,63,0,7,95,17,0,0
850005,85,95,190,1,34,279,41,0,1
850006,85,42,60,0,13,66,12,1,1
850007,85,48,107,2,9,115,19,0,0
850008,85,22,43,0,1,57,10,0,1
850009,85,13,42,1,2,59,7,0,0
850010,85,43,71,1,9,128,19,0,1
850011,85,71,67,4,14,189,29,0,2
850012,85,29,68,0,9,144,26,0,2
850013,85,46,51,2,9,126,27,0,1
850014,85,52,116,2,23,190,23,2,0
850015,85,18,52,3,20,62,14,0,0
850016,85,68,109,3,28,185,48,1,3
850017,85,47,78,0,12,164,26,0,0
850018,85,92,95,0,26,236,47,0,1
850019,85,37,65,1,8,124,15,0,0
850020,85,146,232,3,34,318,36,0,0
850021,85,90,196,0,23,242,37,0,3
850022,85,84,150,2,9,199,37,0,1
850023,85,51,60,0,13,124,35,0,0
850024,85,48,46,2,9,101,21,0,0
850025,85,80,117,2,27,178,26,1,0
850026,85,33,65,3,8,66,15,0,1
850027,85,79,139,1,29,148,33,0,1
850028,85,71,177,0,19,217,26,0,0
850029,85,58,71,0,5,83,17,0,0
850030,85,125,196,4,15,340,70,0,2
850031,85,116,130,4,38,285,46,1,3
850032,85,91,136,5,37,236,46,0,0
850033,85,31,44,0,11,50,4,0,0
850034,85,32,63,1,24,98,24,0,1
850035,85,126,243,0,35,386,47,1,0
